NAME,DP03_0095E,DP03_0095M,DP03_0096E,DP03_0096M,DP03_0097E,DP03_0097M,DP03_0098E,DP03_0098M,DP03_0099E,DP03_0099M
Geographic Area Name,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,Margin of Error!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Margin of Error!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Margin of Error!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage,Margin of Error!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,Margin of Error!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage
Illinois,12643207,694,11714595,13128,8847326,28714,4244179,17233,928612,13081
"Adams County, Illinois",65175,266,62125,625,46656,1078,25786,978,3050,547
"Alexander County, Illinois",6469,81,6030,152,2784,267,4141,267,439,128
"Bond County, Illinois",15475,520,14524,573,11521,672,5639,525,951,237
"Boone County, Illinois",53224,136,49863,521,39032,1026,17404,973,3361,538
"Brown County, Illinois",4804,239,4521,236,3452,219,1744,210,283,107
"Bureau County, Illinois",33010,64,31390,285,23774,523,13114,475,1620,277
"Calhoun County, Illinois",4777,77,4640,78,3261,180,2112,168,137,50
"Carroll County, Illinois",14376,44,13498,171,10356,406,5939,321,878,168
"Cass County, Illinois",12520,79,11628,199,8581,404,4945,330,892,183
"Champaign County, Illinois",207596,295,197733,827,165491,1909,53628,1812,9863,838
"Christian County, Illinois",31546,146,30005,343,22353,650,12874,613,1541,299
"Clark County, Illinois",15619,100,14764,202,10704,505,6675,430,855,201
"Clay County, Illinois",13170,55,12133,238,8350,483,6110,418,1037,229
"Clinton County, Illinois",35546,219,33839,456,27785,731,11262,605,1707,432
"Coles County, Illinois",51044,177,47844,571,33880,1077,20434,961,3200,539
"Cook County, Illinois",5177243,1552,4684990,8282,3333269,15161,1799218,10181,492253,8132
"Crawford County, Illinois",17011,589,15939,608,12095,704,6868,404,1072,262
"Cumberland County, Illinois",10738,95,10228,152,7368,316,4430,296,510,116
"DeKalb County, Illinois",103533,134,97465,659,77360,1546,30740,1441,6068,660
"De Witt County, Illinois",15766,98,15005,192,11411,449,6027,450,761,158
"Douglas County, Illinois",19555,63,16724,400,12419,536,6901,450,2831,383
"DuPage County, Illinois",925916,574,871642,2728,744352,4489,223407,3199,54274,2612
"Edgar County, Illinois",17253,152,16298,243,12155,455,7213,443,955,219
"Edwards County, Illinois",6478,37,6116,101,4764,197,2511,162,362,92
"Effingham County, Illinois",33773,158,31937,391,24494,609,12257,616,1836,365
"Fayette County, Illinois",20025,198,18407,316,11611,599,9693,582,1618,234
"Ford County, Illinois",13000,137,12185,255,8707,438,5496,433,815,208
"Franklin County, Illinois",38660,139,36128,364,22185,860,19750,722,2532,341
"Fulton County, Illinois",32889,298,30898,437,22996,712,14362,740,1991,321
"Gallatin County, Illinois",5157,15,4973,75,3189,194,2857,171,184,75
"Greene County, Illinois",12932,86,12105,213,7886,392,6106,359,827,202
"Grundy County, Illinois",50217,175,48112,447,39456,974,14358,717,2105,432
"Hamilton County, Illinois",8148,23,7642,256,5759,394,3175,361,506,253
"Hancock County, Illinois",17931,85,17395,144,12327,362,7778,392,536,118
"Hardin County, Illinois",3921,72,3584,134,2333,213,1903,175,337,122
"Henderson County, Illinois",6823,60,6369,139,5186,216,2660,197,454,122
"Henry County, Illinois",48734,234,46576,445,37565,788,17909,712,2158,381
"Iroquois County, Illinois",27740,139,26068,333,18840,569,11865,532,1672,303
"Jackson County, Illinois",57971,101,53700,647,39523,1076,21664,884,4271,649
"Jasper County, Illinois",9535,48,8841,203,6556,344,3778,320,694,195
"Jefferson County, Illinois",35686,245,33641,335,22893,748,16327,714,2045,224
"Jersey County, Illinois",21704,164,20547,337,16592,459,6953,558,1157,310
"Jo Daviess County, Illinois",21672,81,20658,256,16620,478,8355,376,1014,248
"Johnson County, Illinois",10342,219,9970,226,7236,391,4566,336,372,100
"Kane County, Illinois",527595,426,481085,2253,376336,3771,156304,2753,46510,2219
"Kankakee County, Illinois",108902,364,102509,703,76664,1361,39419,1288,6393,599
"Kendall County, Illinois",124288,128,118797,957,102499,2128,27546,1862,5491,973
"Knox County, Illinois",48258,274,45551,472,32108,864,21683,785,2707,451
"Lake County, Illinois",687874,774,639566,2289,520751,3895,183758,3251,48308,2291
"LaSalle County, Illinois",107246,356,101963,678,76962,1306,40892,1017,5283,530
