Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings,Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Median family income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Median family income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Mean family income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Mean family income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)
Illinois,4830038,9750,63575,187,88857,298,3789579,9593,91858,316,79747,324,105865,395,34463,135,35817,99
"Adams County, Illinois",27300,354,51398,1583,69598,2758,20473,429,70515,3131,66128,2600,83520,4014,29347,1082,32246,1052
"Alexander County, Illinois",2323,138,34709,3017,45672,4408,1384,123,48252,7014,40813,6558,50935,4941,19065,1712,25292,3701
"Bond County, Illinois",6218,292,58097,5803,70131,4743,4472,318,71624,5728,73652,5727,84882,6769,26356,1900,27406,2177
"Boone County, Illinois",18731,353,66898,4955,85599,4324,14880,479,86588,3958,75807,3511,96159,5893,30725,1515,32363,1809
"Brown County, Illinois",2087,132,58762,2302,67824,4939,1496,136,73092,6309,77556,6829,84019,7023,22279,1817,32630,3449
"Bureau County, Illinois",13805,243,55940,2114,69674,1840,10288,231,70571,2389,68778,2194,80334,2503,29126,751,31547,785
"Calhoun County, Illinois",1805,118,54392,6158,66845,5087,1154,98,73818,7234,71603,4487,82486,6397,27314,1775,34676,4151
"Carroll County, Illinois",6476,214,51228,3421,62739,2764,4492,230,60644,3334,66164,3591,77450,3978,28053,1151,29037,2126
"Cass County, Illinois",5024,136,51997,2526,65081,3795,3890,146,61699,4108,60648,5330,73943,5256,26245,1411,29668,1549
"Champaign County, Illinois",82499,673,51692,1225,72496,1630,65270,872,72436,2111,78440,2198,100544,3354,29683,647,27103,548
"Christian County, Illinois",13939,287,52415,2072,62807,2563,9770,324,66315,2896,63225,3874,74291,3330,26166,1063,31882,713
"Clark County, Illinois",6774,175,54158,3644,70037,4970,5248,195,66050,5308,61967,5213,76692,4755,29887,2024,31938,2198
"Clay County, Illinois",5638,218,48691,3604,60790,4434,3934,234,60877,4013,59189,6247,71171,5662,25821,1702,30368,2130
"Clinton County, Illinois",14190,300,65010,3226,80242,4264,10866,283,76986,3088,79023,4898,94067,5372,31240,1468,35106,1265
"Coles County, Illinois",21139,418,44071,3008,63161,4321,15597,467,62708,4692,60582,3153,80144,6098,26790,1701,24403,1633
"Cook County, Illinois",1963070,4298,62088,368,91216,494,1555133,4589,95936,519,76327,585,108651,730,35575,196,37104,146
"Crawford County, Illinois",7653,323,49233,2101,68640,4038,5484,301,71211,4824,63056,4839,82290,4905,26713,2046,31092,1781
"Cumberland County, Illinois",4322,126,53376,3402,62334,3079,3162,142,62134,3507,67139,3488,73542,3867,25622,1209,30490,1949
"DeKalb County, Illinois",37703,554,61086,1996,75000,2147,30853,671,71382,1842,77405,3620,91760,3427,28073,766,26263,804
"De Witt County, Illinois",6663,206,55591,4243,69216,3092,5118,225,69600,3915,69240,4060,80673,3610,29402,1310,31511,1350
